Wavelength,IR,Red,Orange,Yellow,Green,Blue,Pink,UV
345.231,-913.96,-427.63,-1417.55,-2834.12,-136.63,-86.32,-356.11,-142.05
345.449,-913.96,-427.63,-1417.55,-2834.12,-136.63,-86.32,-356.11,-142.05
345.668,-913.96,-427.63,-1417.55,-2834.12,-136.63,-86.32,-356.11,-142.05
345.886,-957.37,-441.44,-1382.04,-2776.91,-174.11,-13.32,-413.33,-220.97
346.104,-913.96,-340.82,-1350.47,-2820.31,-152.41,-92.23,-360.06,-100.62
346.323,96.18,53.76,267.33,-42.42,-2.47,71.52,77.93,-41.43
346.541,-71.52,-5.43,-10.85,0.99,5.43,59.68,-6.91,29.59
346.759,-211.6,-102.1,-235.77,-91.74,-39.95,-74.48,-123.31,-57.22
346.977,212.58,61.65,200.25,235.77,88.29,43.9,44.39,73
347.196,-89.28,-27.13,-4.93,-263.39,-55.74,-102.1,-6.91,-39.46
347.414,-191.87,-117.88,-391.63,-504.09,27.13,-19.24,-91.74,-41.43
347.632,139.59,65.6,198.28,456.73,-39.95,6.41,-24.66,61.16
347.85,364.5,97.17,365.98,675.73,29.1,22.2,174.6,57.22
348.069,-18.25,32.06,115.42,30.58,-45.87,-1.48,16.77,-71.03
348.287,129.72,91.25,87.8,320.6,-10.36,8.38,81.88,49.32
348.505,-32.06,-29.1,-204.2,-111.47,50.8,37.98,-62.15,1.97
348.723,-328,-119.86,-387.68,-707.3,-6.41,-52.78,-79.9,-21.7
348.941,-132.68,-13.32,-152.9,-152.9,-55.74,-5.43,-36.5,-11.84
349.159,-75.46,-36.99,-208.14,-391.63,-2.47,-17.26,2.96,-17.76
349.377,-83.36,-11.34,-115.42,-50.31,-24.17,-50.8,-58.2,7.89
349.596,171.15,-44.88,129.23,302.85,-47.84,136.63,14.8,43.4
349.814,-158.33,-42.91,-225.9,-330.47,17.26,-23.18,-72.01,-7.89
350.032,214.56,57.71,289.04,245.63,-30.09,43.9,75.96,-31.57
350.25,161.29,69.55,79.9,210.12,-12.33,57.71,44.39,92.73
350.468,31.07,-35.02,64.12,198.28,-26.14,-13.32,68.07,9.86
350.686,287.56,65.6,194.33,-172.63,56.72,99.14,77.93,90.76
350.904,76.45,59.68,32.55,26.63,-26.14,-3.45,26.63,37.49
351.122,111.96,65.6,16.77,212.09,96.18,-17.26,83.85,49.32
351.34,153.4,63.63,77.93,296.93,35.02,24.17,48.34,49.32
351.558,293.47,28.11,239.71,-20.72,-12.33,16.28,-10.85,63.13
351.776,15.29,-36.99,-204.2,-32.55,-65.6,-13.32,38.47,31.57
351.994,11.34,-3.45,-60.17,56.23,-67.57,41.92,-26.63,-21.7
352.212,179.04,2.47,125.28,219.98,36.99,22.2,-10.85,98.65
352.43,66.59,-80.4,-8.88,-310.74,-32.06,-11.34,-48.34,-15.78
352.648,-73.49,20.22,-168.69,-342.3,-20.22,32.06,4.93,-17.76
352.865,135.64,2.47,176.58,358.09,19.24,20.22,14.8,41.43
353.083,94.21,12.33,36.5,275.22,27.13,32.06,48.34,86.81
353.301,125.77,112.95,204.2,109.5,-47.84,77.44,-2.96,3.95
353.519,259.93,67.57,283.12,403.47,104.07,26.14,73.99,-17.76
353.737,161.29,36.01,143.04,178.55,-36.01,67.57,20.72,73
353.955,407.9,160.3,537.62,545.52,54.75,53.76,156.85,142.05
354.172,-219.49,-7.4,-172.63,-399.52,-24.17,-7.4,-8.88,21.7
354.39,486.82,144.52,365.98,247.6,-37.98,77.44,190.39,130.21
