Wavelength,IR,Red,Orange,Yellow,Green,Blue,Pink,UV
345.231,-107.03,-70.7,-42.91,-72.34,-54.58,-112.29,0.66,-92.56
345.449,-107.03,-70.7,-42.91,-72.34,-54.58,-112.29,0.66,-92.56
345.668,-107.03,-70.7,-42.91,-72.34,-54.58,-112.29,0.66,-92.56
345.886,-126.76,-141.72,-40.94,-46.69,-36.83,-82.7,-96.02,-80.73
346.104,-6.41,-52.94,-1.48,2.63,-135.47,-134,0.66,-37.32
346.323,23.18,-127.91,-3.45,44.06,0.66,21.87,44.06,-25.48
346.541,-91.25,-25.32,22.2,12.5,57.87,-33.38,44.06,-53.1
346.759,31.07,-29.27,-88.29,-34.86,-101.94,33.7,-1.32,53.43
346.977,44.88,-33.21,14.3,32.22,55.9,17.92,32.22,4.11
347.196,1.48,55.57,-33.05,-36.83,10.52,-35.35,-13.15,-53.1
347.414,-2.47,-5.59,-29.1,61.82,-26.96,53.43,-30.91,-51.13
347.632,-36.01,18.09,10.36,2.63,-3.29,29.76,-15.13,88.95
347.85,5.43,59.52,41.92,-40.77,119.03,-15.62,28.28,94.87
348.069,58.69,6.25,37.98,20.39,-7.23,-15.62,53.93,-59.02
348.287,-2.47,81.22,2.47,18.41,-26.96,-9.7,-48.67,-49.16
348.505,-39.95,0.33,79.41,-26.96,-21.04,-41.27,-40.77,35.68
348.723,7.4,0.33,-54.75,-52.61,-56.56,-5.75,-52.61,13.97
348.941,35.02,-54.91,-3.45,-26.96,-26.96,-62.97,4.6,-104.4
349.159,54.75,-48.99,65.6,30.25,32.22,0.16,44.06,4.11
349.377,-59.68,24,36.01,2.63,-5.26,-25.48,99.3,-43.24
349.596,9.37,-17.43,51.79,101.28,40.12,-41.27,-7.23,8.06
349.814,5.43,25.98,-35.02,77.6,81.55,-23.51,-36.83,-39.29
350.032,-0.49,14.14,-25.15,34.2,46.04,35.68,79.58,15.95
350.25,1.48,14.14,83.36,48.01,99.3,55.41,36.17,-86.64
350.468,-107.03,-29.27,14.3,-13.15,-7.23,2.14,28.28,71.19
350.686,13.32,49.65,-36.99,16.44,-34.86,-9.7,34.2,-49.16
350.904,-43.9,8.22,-33.05,28.28,-34.86,39.62,30.25,17.92
351.122,-34.03,2.3,61.65,97.33,-48.67,29.76,6.58,-49.16
351.34,36.99,-5.59,-1.48,115.09,61.82,-43.24,48.01,-64.94
351.558,-16.28,35.84,-9.37,30.25,16.44,59.35,99.3,-33.38
351.776,-4.44,35.84,-50.8,67.74,-17.1,33.7,38.14,23.84
351.994,-83.36,33.87,14.3,-32.88,-48.67,-19.56,91.41,-29.43
352.212,50.8,4.27,41.92,-52.61,-5.26,57.38,-82.21,-15.62
352.43,7.4,-31.24,2.47,57.87,18.41,-5.75,73.66,27.79
352.648,-18.25,0.33,-29.1,51.95,75.63,-21.54,99.3,39.62
352.865,54.75,0.33,-36.99,42.09,-44.72,-70.86,28.28,49.49
353.083,7.4,4.27,45.87,-38.8,-17.1,92.89,44.06,-33.38
353.301,-59.68,16.11,51.79,-13.15,-50.64,8.06,16.44,53.43
353.519,-49.82,49.65,0.49,46.04,16.44,-35.35,53.93,55.41
353.737,-24.17,-72.67,-31.07,-48.67,-9.21,15.95,55.9,-13.65
353.955,40.94,104.89,28.11,34.2,-11.18,71.19,55.9,73.16
354.172,44.88,-66.75,26.14,55.9,34.2,-29.43,12.5,55.41
354.39,-51.79,2.3,45.87,34.2,42.09,31.73,-9.21,-35.35
354.608,98.15,-39.13,-31.07,24.33,28.28,13.97,12.5,-9.7
354.826,5.43,-76.62,-66.59,-30.91,26.31,35.68,-1.32,6.08
355.044,-53.76,-3.62,-40.94,38.14,-21.04,47.51,-48.67,-45.21
355.261,-8.38,4.27,36.01,28.28,4.6,19.89,59.85,49.49
355.479,-4.44,-7.56,89.28,49.98,-58.53,-27.46,24.33,-27.46
355.697,-4.44,89.11,4.44,67.74,-17.1,6.08,-7.23,63.3
355.914,23.18,4.27,93.22,-7.23,48.01,-37.32,40.12,-11.67
356.132,-30.09,-3.62,65.6,12.5,-34.86,4.11,16.44,-61
356.35,-18.25,-23.35,37.98,26.31,-13.15,-5.75,-62.48,-57.05
356.567,38.97,57.54,-3.45,53.93,69.71,57.38,34.2,4.11
356.785,7.4,4.27,-56.72,49.98,-1.32,-1.81,53.93,-17.59
357.003,60.67,12.17,97.17,20.39,20.39,23.84,-13.15,122.49
357.22,52.78,-23.35,47.84,38.14,57.87,-49.16,-9.21,29.76
357.438,7.4,100.95,-21.21,34.2,67.74,23.84,49.98,47.51
357.655,5.43,16.11,-9.37,-30.91,-9.21,-3.78,89.44,-23.51
357.873,80.4,110.81,41.92,-21.04,10.52,-5.75,91.41,71.19
358.091,38.97,-11.51,-23.18,30.25,30.25,-74.81,-1.32,-11.67
358.308,-28.11,-9.54,59.68,107.2,-26.96,10.03,71.68,71.19
358.526,56.72,-41.1,-15.29,14.47,53.93,-70.86,101.28,6.08
358.743,90.26,37.81,30.09,71.68,53.93,29.76,42.09,53.43
358.961,9.37,10.19,51.79,46.04,44.06,39.62,-15.13,-45.21
359.178,-49.82,31.9,-7.4,-3.29,26.31,-9.7,-3.29,27.79
359.396,35.02,61.49,26.14,-21.04,38.14,-23.51,46.04,29.76
359.613,48.83,128.57,-23.18,40.12,38.14,-7.73,0.66,19.89
359.83,-36.01,25.98,-33.05,-3.29,-24.99,-112.29,-28.94,4.11
360.048,-2.47,-7.56,-36.99,67.74,-48.67,12,57.87,-17.59
360.265,62.64,-9.54,55.74,-21.04,48.01,61.33,-19.07,23.84
360.483,11.34,10.19,-27.13,65.76,42.09,-7.73,-3.29,55.41
360.7,40.94,51.63,83.36,99.3,-52.61,-55.08,14.47,51.46
360.917,-36.01,-39.13,22.2,61.82,-17.1,-64.94,57.87,43.57
361.135,7.4,14.14,59.68,-17.1,57.87,-21.54,34.2,-35.35
361.352,48.83,112.79,20.22,85.49,48.01,53.43,0.66,2.14
361.569,23.18,-11.51,41.92,61.82,-26.96,-27.46,-11.18,29.76
361.787,-37.98,0.33,-5.43,38.14,-23.02,-11.67,-15.13,71.19
362.004,90.26,45.71,2.47,48.01,34.2,2.14,38.14,15.95
362.221,-6.41,-1.64,34.03,103.25,-11.18,-70.86,-1.32,51.46
362.439,-6.41,16.11,18.25,-34.86,51.95,-45.21,-21.04,13.97
362.656,60.67,43.73,67.57,83.52,101.28,17.92,0.66,67.24
362.873,96.18,-17.43,-3.45,75.63,28.28,-21.54,6.58,6.08
363.09,46.86,81.22,83.36,51.95,107.2,47.51,55.9,144.19
363.307,1.48,-13.48,91.25,75.63,42.09,75.14,55.9,138.27
363.525,44.88,-17.43,79.41,93.39,61.82,19.89,-40.77,47.51
363.742,-4.44,16.11,6.41,-52.61,-9.21,-35.35,49.98,-23.51
363.959,-26.14,57.54,53.76,18.41,34.2,-15.62,103.25,39.62
364.176,1.48,-27.29,10.36,18.41,46.04,-15.62,-40.77,-5.75
364.393,33.05,-11.51,34.03,30.25,-3.29,6.08,10.52,12
364.61,-16.28,14.14,39.95,32.22,-44.72,-33.38,-50.64,-37.32
364.827,23.18,10.19,6.41,-9.21,38.14,2.14,38.14,57.38
365.045,31.07,-23.35,-17.26,18.41,-23.02,-86.64,14.47,61.33
365.262,9.37,-35.18,4.44,6.58,10.52,-31.4,122.98,116.57
365.479,52.78,0.33,63.63,-15.13,34.2,-13.65,-1.32,31.73
365.696,-2.47,49.65,55.74,-11.18,55.9,-17.59,44.06,-9.7
365.913,29.1,24,45.87,-3.29,61.82,27.79,4.6,-41.27
366.13,9.37,49.65,69.55,34.2,20.39,47.51,99.3,35.68
366.347,-26.14,0.33,-5.43,-15.13,-50.64,4.11,12.5,63.3
366.564,15.29,-92.4,79.41,-7.23,28.28,94.87,-15.13,-1.81
366.781,113.94,8.22,-38.97,69.71,-3.29,17.92,59.85,0.16
366.998,62.64,-9.54,53.76,53.93,-17.1,10.03,63.79,63.3
367.215,17.26,59.52,22.2,89.44,10.52,23.84,40.12,35.68
367.432,-0.49,-64.78,-15.29,-50.64,49.98,53.43,20.39,-25.48
367.649,-30.09,-50.97,16.28,12.5,61.82,-3.78,42.09,47.51
367.865,7.4,77.27,-31.07,16.44,22.36,35.68,40.12,21.87
368.082,-49.82,2.3,14.3,24.33,65.76,47.51,-44.72,25.81
368.299,29.1,20.06,41.92,2.63,51.95,31.73,-76.29,19.89
368.516,-26.14,22.03,-35.02,22.36,28.28,-21.54,55.9,-62.97
368.733,-2.47,20.06,59.68,-32.88,93.39,10.03,42.09,37.65
368.95,-2.47,37.81,12.33,83.52,101.28,33.7,57.87,8.06
369.167,-20.22,-23.35,65.6,-58.53,12.5,75.14,34.2,77.11
369.383,-28.11,-7.56,24.17,-5.26,-32.88,39.62,-1.32,79.08
369.6,-0.49,25.98,2.47,44.06,-1.32,-19.56,89.44,25.81
369.817,31.07,-31.24,57.71,44.06,-21.04,31.73,14.47,23.84
370.034,31.07,100.95,10.36,69.71,38.14,23.84,128.9,13.97
370.25,-20.22,-33.21,-70.53,-72.34,18.41,-25.48,26.31,86.97
370.467,11.34,77.27,55.74,6.58,53.93,8.06,71.68,136.3
370.684,5.43,-7.56,-35.02,49.98,57.87,-29.43,-21.04,104.73
370.901,-18.25,37.81,55.74,89.44,0.66,35.68,63.79,92.89
371.117,64.61,-56.89,-11.34,67.74,10.52,-98.48,-13.15,106.7
371.334,-43.9,-25.32,-62.64,44.06,20.39,49.49,22.36,49.49
371.551,58.69,-9.54,24.17,67.74,46.04,19.89,-44.72,53.43
371.767,-59.68,2.3,-36.99,69.71,51.95,-7.73,-24.99,57.38
371.984,-32.06,-5.59,16.28,10.52,24.33,-57.05,-21.04,39.62
372.2,-26.14,89.11,69.55,-5.26,63.79,17.92,42.09,-3.78
372.417,15.29,22.03,32.06,-60.5,61.82,55.41,48.01,10.03
372.634,15.29,61.49,-7.4,89.44,81.55,-5.75,-21.04,118.54
372.85,74.48,-23.35,63.63,83.52,61.82,-62.97,44.06,100.78
373.067,44.88,12.17,107.03,46.04,28.28,10.03,26.31,124.46
373.283,42.91,-3.62,-13.32,-1.32,83.52,-7.73,-68.4,114.59
373.5,25.15,-21.37,4.44,-17.1,-5.26,4.11,42.09,108.68
373.716,33.05,69.38,63.63,53.93,-3.29,4.11,26.31,92.89
373.933,7.4,-21.37,47.84,2.63,30.25,8.06,95.36,146.16
374.149,7.4,-54.91,18.25,28.28,30.25,-3.78,46.04,90.92
374.366,106.05,0.33,39.95,8.55,77.6,8.06,34.2,118.54
374.582,5.43,27.95,45.87,32.22,24.33,10.03,101.28,177.73
374.799,36.99,57.54,59.68,107.2,124.95,-41.27,101.28,138.27
375.015,13.32,55.57,-106.05,49.98,26.31,-3.78,42.09,165.89
375.232,84.34,73.33,-3.45,-36.83,42.09,45.54,20.39,134.32
375.448,-36.01,25.98,0.49,67.74,10.52,-35.35,-28.94,156.03
375.664,-8.38,35.84,30.09,36.17,99.3,19.89,32.22,130.38
375.881,35.02,67.41,34.03,10.52,-5.26,41.6,16.44,185.62
376.097,7.4,10.19,-21.21,-24.99,63.79,-33.38,-24.99,104.73
376.313,23.18,4.27,14.3,101.28,16.44,69.22,-30.91,223.11
376.53,35.02,-31.24,-15.29,18.41,-7.23,-45.21,-24.99,161.95
376.746,-18.25,55.57,61.65,69.71,113.11,57.38,14.47,221.13
376.962,-8.38,47.68,32.06,22.36,24.33,-47.19,-36.83,158
377.179,-18.25,-62.81,43.9,-3.29,36.17,-64.94,-26.96,246.78
377.395,1.48,87.14,-1.48,63.79,36.17,33.7,-5.26,191.54
377.611,-16.28,61.49,-7.4,6.58,8.55,27.79,51.95,213.24
377.827,74.48,29.92,2.47,67.74,67.74,19.89,24.33,211.27
378.044,29.1,-17.43,12.33,28.28,63.79,4.11,81.55,227.05
378.26,66.59,-9.54,-13.32,26.31,-21.04,25.81,99.3,262.56
378.476,21.21,69.38,10.36,79.58,-17.1,31.73,10.52,238.89
378.692,-18.25,18.09,28.11,-11.18,4.6,108.68,-7.23,302.02
378.908,86.32,-25.32,-23.18,89.44,18.41,100.78,14.47,292.16
379.125,-20.22,-52.94,85.33,77.6,4.6,25.81,26.31,446.05
379.341,11.34,-29.27,-7.4,-21.04,16.44,-43.24,59.85,420.4
379.557,3.45,37.81,0.49,71.68,14.47,75.14,-52.61,444.07
379.773,-8.38,-98.32,2.47,89.44,-13.15,65.27,65.76,491.43
379.989,17.26,33.87,-58.69,-21.04,59.85,25.81,55.9,448.02
380.205,94.21,4.27,57.71,79.58,10.52,-19.56,109.17,457.89
380.421,-4.44,8.22,-19.24,6.58,40.12,69.22,-15.13,487.48
380.637,78.42,-13.48,8.38,32.22,-24.99,-5.75,53.93,519.05
380.853,5.43,83.19,-50.8,-13.15,4.6,4.11,-48.67,668.99
381.069,64.61,35.84,-1.48,2.63,81.55,35.68,49.98,714.37
381.285,9.37,8.22,-11.34,8.55,12.5,13.97,12.5,672.94
381.501,-4.44,77.27,-36.99,32.22,44.06,49.49,26.31,584.15
